股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,成交量,成交额(万元)
000498,山东路桥,2026-06-05,5.1300,5.2000,5.1200,5.1600,71224,3675.16
000501,武商集团,2026-06-05,7.2000,7.5700,7.2000,7.2700,104202,7575.49
000503,国新健康,2026-06-05,7.0100,7.1600,6.9300,7.0900,143068,10143.52
000504,*ST生物,2026-06-05,8.8100,8.8100,8.5200,8.5200,55017,4687.45
000505,京粮控股,2026-06-05,5.7900,5.9000,5.7300,5.7600,68740,3959.42
000506,招金黄金,2026-06-05,13.9500,14.4000,13.8700,14.2000,312388,44359.10
000507,珠海港,2026-06-05,5.2500,5.3100,5.0900,5.1200,225893,11565.72
000509,华塑控股,2026-06-05,4.7100,5.0000,4.3700,4.7600,1728057,82255.51
000510,中证A500,2026-06-05,18.6500,19.1400,18.1700,18.5000,416173,76992.01
000513,丽珠集团,2026-06-05,30.3600,30.9700,30.3200,30.6600,37281,11430.35
000514,渝 开 发,2026-06-05,4.3500,4.5500,4.3500,4.3900,112570,4941.82
000516,国际医学,2026-06-05,4.0900,4.2000,4.0900,4.1300,159851,6601.85
000517,荣安地产,2026-06-05,1.9300,2.1200,1.9200,2.1200,549312,11645.41
000518,四环生物,2026-06-05,3.6500,3.7800,3.5000,3.5000,1124177,39346.20
000519,中兵红箭,2026-06-05,19.4800,20.1900,19.1100,19.2600,725141,139662.16
000520,凤凰航运,2026-06-05,4.2600,4.6000,4.2600,4.6000,390264,17952.14
000521,长虹美菱,2026-06-05,5.7000,5.8100,5.6800,5.7400,118393,6795.76
000523,红棉股份,2026-06-05,3.0500,3.1500,3.0400,3.0700,185361,5690.58
000524,岭南控股,2026-06-05,9.1500,9.3700,9.0800,9.1700,75930,6962.78
000525,红太阳,2026-06-05,4.5300,4.6200,4.4400,4.5400,244517,11101.07
000526,学大教育,2026-06-05,27.0500,27.5800,26.9400,27.3100,18689,5103.97
000528,柳 工,2026-06-05,8.4700,8.6300,8.4300,8.5300,285366,24341.72
000529,广弘控股,2026-06-05,4.9200,5.0300,4.9200,5.0000,38317,1915.85
000530,冰山冷热,2026-06-05,6.2100,6.4300,6.1500,6.3100,491428,31009.11
000531,穗恒运Ａ,2026-06-05,7.6900,8.0500,7.1800,7.1900,452842,32559.34
000532,华金资本,2026-06-05,12.2800,13.4000,12.2800,12.9800,224650,29159.57
000533,顺钠股份,2026-06-05,11.5800,11.6700,11.2400,11.3100,274150,31006.37
000534,万泽股份,2026-06-05,33.6600,34.2500,32.0400,32.5000,223049,72490.93
000536,华映科技,2026-06-05,4.1000,4.3100,4.0200,4.1300,2083600,86052.68
000537,绿发电力,2026-06-05,10.8000,11.2500,10.1100,10.1200,702003,71042.70
000538,云南白药,2026-06-05,48.6000,49.4800,48.6000,48.8100,94071,45916.06
000539,粤电力Ａ,2026-06-05,9.1700,9.4700,8.2500,8.2500,2828011,233310.91
000541,佛山照明,2026-06-05,4.9700,5.0500,4.9600,5.0100,92257,4622.08
000543,皖能电力,2026-06-05,9.5600,9.7200,8.9600,9.0200,880092,79384.30
000544,中原环保,2026-06-05,7.7900,7.9500,7.7800,7.8900,37048,2923.09
000545,金浦钛业,2026-06-05,2.4200,2.4900,2.3700,2.4500,350135,8578.31
000546,金圆股份,2026-06-05,5.2100,5.3700,5.1100,5.2600,252290,13270.45
