code,price,open,high,low,volume,amount,bid_vol,ask_vol,turnover,updated_at
002558,25.7900,25.2500,26.0800,25.1400,419723,1077636864.00,200576,219147,2.2084,2026-06-06 12:02:19.577001+00:00
002559,9.9400,9.6700,10.1900,9.1900,418284,409056192.00,227147,191138,7.6084,2026-06-06 12:02:19.577001+00:00
002560,8.6900,8.6800,8.8400,8.4200,469755,406615648.00,252496,217260,6.3889,2026-06-06 12:02:19.577001+00:00
002562,4.9000,4.8900,5.0000,4.8100,215981,106056648.00,113211,102771,1.8899,2026-06-06 12:02:19.577001+00:00
002564,5.0800,5.0400,5.1900,4.9200,149491,75577096.00,79463,70028,1.7405,2026-06-06 12:02:19.577001+00:00
002565,15.3400,14.9000,15.5500,14.3200,1302261,1963946752.00,670050,632212,12.2856,2026-06-06 12:02:19.577001+00:00
002567,3.4500,3.4300,3.4900,3.4100,158697,54896016.00,78346,80351,1.1074,2026-06-06 12:02:19.577001+00:00
002568,18.3800,18.2400,19.2500,18.2300,228999,428120288.00,111662,117337,2.1985,2026-06-06 12:02:19.577001+00:00
002569,15.8800,15.7200,16.0600,15.4200,14720,23263760.00,5804,8916,0.0000,2026-06-06 12:02:19.577001+00:00
002571,12.6600,12.0600,12.8800,11.7200,191218,236423056.00,116022,75196,4.8786,2026-06-06 12:02:19.577001+00:00
002573,3.3700,3.3600,3.4000,3.3500,61030,20576114.00,26835,34195,0.4312,2026-06-06 12:02:19.577001+00:00
002574,4.8900,4.8100,4.9800,4.7400,69785,34060400.00,38385,31400,1.3217,2026-06-06 12:02:19.577001+00:00
002575,5.8300,5.9500,6.0000,5.7600,419014,245161936.00,177864,241151,6.7967,2026-06-06 12:02:19.577001+00:00
002576,16.2500,15.9100,16.6600,15.4200,76113,121699776.00,38255,37858,4.6101,2026-06-06 12:02:19.577001+00:00
002577,17.9300,17.6800,18.2300,17.4500,30691,54945868.00,17481,13211,1.0934,2026-06-06 12:02:19.577001+00:00
002578,3.9000,3.8500,4.0000,3.7600,411106,160308960.00,197256,213850,4.3799,2026-06-06 12:02:19.577001+00:00
002579,18.6900,19.5800,19.9000,18.5500,1745576,3335940352.00,791114,954463,28.4937,2026-06-06 12:02:19.577001+00:00
002580,21.8500,23.1000,23.2200,21.7600,752099,1667634048.00,376449,375651,16.5708,2026-06-06 12:02:19.577001+00:00
002581,4.2400,4.2300,4.3200,4.1400,67059,28339412.00,31510,35549,1.0165,2026-06-06 12:02:19.577001+00:00
002582,9.6600,9.6400,9.7800,9.5000,146181,141120352.00,75539,70642,3.2651,2026-06-06 12:02:19.577001+00:00
002583,8.7500,8.2700,9.0200,8.2400,638531,557563648.00,373668,264863,3.5111,2026-06-06 12:02:19.577001+00:00
002584,7.5500,7.4600,7.7100,7.1000,313696,233420880.00,164387,149310,5.3603,2026-06-06 12:02:19.577001+00:00
002585,11.8200,12.9800,12.9800,11.7100,2961004,3646255872.00,1376157,1584848,0.0000,2026-06-06 12:02:19.577001+00:00
002586,3.9800,4.0600,4.1300,3.9800,47123,19025776.00,18353,28770,0.4118,2026-06-06 12:02:19.577001+00:00
002587,7.0500,6.7500,7.1300,6.6700,340044,236966960.00,197593,142451,5.1954,2026-06-06 12:02:19.577001+00:00
002588,8.8900,8.7800,9.0100,8.7800,106276,94808160.00,53232,53044,0.9226,2026-06-06 12:02:19.577001+00:00
002589,2.8700,2.8200,2.8900,2.8200,256262,73389760.00,139849,116413,1.7031,2026-06-06 12:02:19.577001+00:00
002591,7.5900,7.5600,7.7400,7.3500,113330,85506840.00,59537,53793,3.7752,2026-06-06 12:02:19.577001+00:00
002592,6.9900,6.9300,7.0200,6.8100,23453,16244860.00,13345,10108,0.8278,2026-06-06 12:02:19.577001+00:00
002593,4.7300,4.6700,4.7700,4.5900,106410,49893568.00,59546,46864,1.3237,2026-06-06 12:02:19.577001+00:00
002594,93.0100,93.5200,94.0000,92.3000,339968,3159266048.00,169029,170940,0.3729,2026-06-06 12:02:19.577001+00:00
002595,50.7900,52.2400,52.4300,50.5100,58547,298423776.00,28335,30212,0.5047,2026-06-06 12:02:19.577001+00:00
002596,3.7700,3.7400,3.8100,3.6900,269772,101758296.00,122970,146802,2.3508,2026-06-06 12:02:19.577001+00:00
002597,19.2000,19.2300,19.5500,19.0100,45570,87864912.00,20363,25207,0.8018,2026-06-06 12:02:19.577001+00:00
002598,7.1200,6.9700,7.1800,6.9400,46717,32961788.00,26198,20519,1.4971,2026-06-06 12:02:19.577001+00:00
002599,6.2300,6.1100,6.4200,6.0100,119841,74045856.00,73227,46614,2.2498,2026-06-06 12:02:19.577001+00:00
002600,15.0800,14.8600,15.5500,14.1700,2738233,4093430016.00,1472961,1265273,3.7468,2026-06-06 12:02:19.577001+00:00
