id,pick_date,stock_code,rank,score,signal_tags,risk_level,suggestion
511,2026-05-08,003001,8,-1.86,,,
519,2026-05-08,300642,10,-2.39,,,
515,2026-05-08,300250,11,-1.30,,,
516,2026-05-08,300581,13,0.09,,,
530,2026-05-08,601588,14,0.48,,,
524,2026-05-08,600498,15,5.09,,,
504,2026-05-08,001282,17,-1.94,,,
541,2026-05-08,688184,19,-0.62,,,
531,2026-05-08,601869,22,8.87,,,
510,2026-05-08,002730,24,3.54,,,
548,2026-05-08,688545,25,5.05,,,
503,2026-05-08,001267,26,5.46,,,
538,2026-05-08,688027,27,6.28,,,
505,2026-05-08,001336,28,-1.88,,,
546,2026-05-08,688523,29,3.58,,,
522,2026-05-08,301550,30,2.20,,,
534,2026-05-08,603083,31,6.72,,,
528,2026-05-08,600984,32,-2.25,,,
520,2026-05-08,300836,33,-1.72,,,
545,2026-05-08,688506,34,-0.08,,,
532,2026-05-08,603009,35,1.86,,,
533,2026-05-08,603050,36,-6.80,,,
527,2026-05-08,600800,38,-0.77,,,
509,2026-05-08,002429,39,3.24,,,
540,2026-05-08,688147,40,3.58,,,
526,2026-05-08,600726,41,5.09,,,
507,2026-05-08,002203,42,4.19,,,
501,2026-05-08,000630,43,-0.14,,,
514,2026-05-08,300096,44,0.56,,,
513,2026-05-08,300084,45,0.59,,,
535,2026-05-08,603117,46,-3.44,,,
521,2026-05-08,301026,47,3.16,,,
543,2026-05-08,688239,48,-0.47,,,
523,2026-05-08,600208,49,-2.34,,,
529,2026-05-08,601126,50,-0.21,,,
434,2026-05-07,603115,8,-4.00,,,
431,2026-05-07,601991,9,-0.87,,,
446,2026-05-07,688256,13,6.01,,,
441,2026-05-07,688147,14,3.58,,,
433,2026-05-07,603050,18,-6.80,,,
444,2026-05-07,688172,20,2.43,,,
439,2026-05-07,688003,21,13.80,,,
435,2026-05-07,603618,23,3.57,,,
443,2026-05-07,688162,24,-1.95,,,
447,2026-05-07,688308,30,6.80,,,
437,2026-05-07,603936,32,-1.90,,,
448,2026-05-07,688313,35,9.29,,,
438,2026-05-07,605287,43,2.29,,,
445,2026-05-07,688175,45,-3.19,,,
436,2026-05-07,603688,48,3.24,,,
440,2026-05-07,688081,49,-2.66,,,
584,2026-06-03,600714,4,3.15,,,
483,2026-05-14,603007,2,-0.81,,,
648,2026-05-29,688323,29,1.36,,,
650,2026-05-29,688519,43,-4.28,,,
539,2026-05-08,688096,6,0.39,,,
565,2026-06-03,300427,7,7.95,,,
562,2026-06-03,300285,8,3.46,,,
592,2026-06-03,688068,9,2.22,,,
555,2026-06-03,001896,14,10.03,,,
568,2026-06-03,300667,16,16.19,,,
585,2026-06-03,600745,17,-5.00,,,
571,2026-06-03,300726,18,2.10,,,
575,2026-06-03,301007,20,-2.61,,,
595,2026-06-03,688236,21,-1.32,,,
596,2026-06-03,688309,22,0.09,,,
586,2026-06-03,600759,23,-1.97,,,
567,2026-06-03,300604,25,3.19,,,
553,2026-06-03,000600,26,7.51,,,
589,2026-06-03,603185,27,0.28,,,
581,2026-06-03,600487,29,10.00,,,
566,2026-06-03,300553,30,0.13,,,
574,2026-06-03,300986,32,-0.79,,,
578,2026-06-03,600255,33,10.03,,,
572,2026-06-03,300757,34,5.70,,,
577,2026-06-03,301228,36,3.20,,,
