code,trade_date,pe,pb,ps,total_market_cap,circulating_market_cap
600791,2026-06-05,0.0000,0.0000,,216006576.00,0.00
000883,2026-06-05,7.0000,0.9400,,35396937500.00,
000885,2026-06-05,2.6400,0.8500,,8289229602.34,
000530,2026-06-06,25.1100,1.6800,,5320670875.00,
000887,2026-06-05,8.9900,1.9800,,28949608228.13,
000888,2026-06-05,8.9200,1.9400,,5279669121.09,
000531,2026-06-06,3.8700,1.0800,,7487675549.22,
600331,2026-06-06,0.0000,11.8000,,36744656000.00,
000533,2026-06-06,46.1900,7.9300,,7813129136.72,
000893,2026-06-05,8.3300,3.1900,,44345215738.28,
000895,2026-06-05,6.6400,3.7900,,85785012550.00,
000534,2026-06-06,21.3800,9.6400,,16560326757.81,
600337,2026-06-06,0.0000,11.8700,,4655873925.00,
000900,2026-06-05,3.4600,0.5100,,5722212620.31,
000901,2026-06-05,100.1700,3.5400,,15054078521.88,
000902,2026-06-05,3.1200,1.2600,,15533607693.75,
000537,2026-06-06,23.3800,1.0500,,20803865843.75,
000905,2026-06-05,8.1300,1.5100,,13880771718.75,
000906,2026-06-05,2.2400,0.8500,,4187012898.44,
000908,2026-06-05,340.3900,5.9900,,12492796125.00,
000538,2026-06-06,4.2700,2.0700,,87089860251.56,
600343,2026-06-06,0.0000,12.9600,,16504017665.63,
000541,2026-06-06,29.4300,1.1200,,7694249189.06,
000543,2026-06-06,4.6000,1.1600,,20447106796.88,
000915,2026-06-05,5.7800,2.1500,,6392563426.56,
000544,2026-06-06,2.2100,0.8200,,7690260951.56,
000919,2026-06-05,13.8100,1.0200,,3868370341.41,
000920,2026-06-05,13.2500,2.9000,,5841596718.75,
000921,2026-06-05,3.5800,2.0000,,37017337035.94,
000922,2026-06-05,12.9900,2.2300,,10449796809.38,
000923,2026-06-05,42.4700,0.9600,,9608169500.00,
600358,2026-06-06,0.0000,61.6700,,2989224681.25,
600365,2026-06-06,0.0000,5.5300,,1216800400.00,
000927,2026-06-05,15.4000,1.5800,,15609912675.00,
000928,2026-06-05,4.5400,0.9700,,8378324975.00,
600376,2026-06-06,0.0000,4.2600,,10034509065.63,
000548,2026-06-06,15.4200,1.1500,,2381259276.56,
000550,2026-06-06,4.3300,1.2300,,14752326992.97,
000932,2026-06-05,13.5900,0.4800,,26862228750.00,
000933,2026-06-05,2.7300,2.3200,,62522321625.00,
000935,2026-06-05,34.1000,2.5600,,20047942606.25,
000936,2026-06-05,87.5600,1.1000,,5599601468.75,
000937,2026-06-05,18.5600,1.0700,,20671249218.75,
000938,2026-06-05,10.1200,5.1300,,79710429600.00,
000551,2026-06-06,5.9000,2.4100,,7329163078.13,
000949,2026-06-05,9.6000,1.6400,,11134368000.00,
000950,2026-06-05,5.5600,0.8100,,9487733934.38,
000951,2026-06-05,5.7000,1.5700,,25904927468.75,
000552,2026-06-06,23.7100,0.9500,,15466745350.00,
000953,2026-06-05,229.9800,14.1900,,2193071903.13,
000553,2026-06-06,2.4600,0.7800,,14025466546.88,
000957,2026-06-05,5.9400,1.8300,,5911251945.31,
000958,2026-06-05,9.6100,2.3700,,107365935675.00,
000959,2026-06-05,15.4100,0.5300,,26832187550.00,
000960,2026-06-05,7.3800,3.0900,,64007299937.50,
000963,2026-06-05,4.9700,1.9400,,49841201987.50,
000965,2026-06-05,5.9400,0.6900,,3795621806.25,
000966,2026-06-05,18.0300,1.4000,,18867209700.00,
000967,2026-06-05,16.2600,1.9500,,34843167250.00,
000968,2026-06-05,4.8200,1.1100,,7120820125.00,
000969,2026-06-05,23.4400,3.9500,,23258498962.50,
000970,2026-06-05,85.1200,2.1400,,13956531968.75,
000554,2026-06-06,4.8100,2.7200,,3235738782.81,
000973,2026-06-05,6.1400,3.7400,,34194072757.81,
000975,2026-06-05,4.3400,3.7300,,60552000600.00,
000977,2026-06-05,15.0900,4.0900,,91251143303.13,
600381,2026-06-06,0.0000,3.2400,,3175998403.91,
000557,2026-06-06,11.6300,0.9500,,6052254953.13,
000981,2026-06-05,14.1800,11.4800,,35590995425.00,
000983,2026-06-05,5.4700,1.1900,,44224618737.50,
000985,2026-06-05,38.9900,3.6000,,2205167928.22,
000987,2026-06-05,2.9400,1.1500,,38180378325.00,
000989,2026-06-05,4.1400,1.7700,,6830417409.38,
000990,2026-06-05,4.8300,0.6300,,11240946875.00,
000558,2026-06-06,113.1400,4.4300,,4654098583.59,
000559,2026-06-06,20.2300,5.6900,,49929298068.75,
000997,2026-06-05,7.1200,2.6600,,20018814318.75,
000560,2026-06-06,110.6300,0.6500,,6030082000.00,
000999,2026-06-05,3.7400,1.7300,,40290713240.63,
600383,2026-06-06,0.0000,0.2700,,11873354440.63,
001202,2026-06-05,28.6600,2.9400,,2523703159.38,
001203,2026-06-05,36.7000,7.8800,,57843126085.94,
001205,2026-06-05,6.7400,1.2200,,2652729329.88,
001206,2026-06-05,10.7000,1.5900,,2961998813.67,
001207,2026-06-05,8.6700,2.3400,,5653518017.58,
001208,2026-06-05,34.2600,3.5500,,10430645382.81,
001209,2026-06-05,11.7000,2.0100,,2630453906.25,
001212,2026-06-05,282.3900,5.5500,,10648849700.78,
001213,2026-06-05,13.7500,0.8700,,16755555293.75,
000563,2026-06-06,5.2200,0.8100,,15137352125.00,
001220,2026-06-05,14.1600,1.8700,,2922824300.00,
001221,2026-06-05,14.1400,6.1700,,18172454300.00,
001222,2026-06-05,12.6200,2.0100,,2865258900.00,
001223,2026-06-05,19.7300,3.1500,,6071987615.04,
001225,2026-06-05,45.8900,2.2100,,3075926264.65,
001226,2026-06-05,35.6700,5.0500,,3749761634.77,
001227,2026-06-05,2.2600,0.3900,,12017920406.25,
001228,2026-06-05,8.0200,1.6100,,2772146163.57,
600386,2026-06-06,0.0000,1.7400,,2927232000.00,
001230,2026-06-05,8.1300,1.7100,,3444358338.28,
001233,2026-06-05,17.5200,1.9700,,9307963704.10,
001236,2026-06-05,63.0800,4.2100,,7890900271.88,
001237,2026-06-05,11.8000,2.9700,,9783774598.14,
